,name,category,sub_category,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Probiotics,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates
76,flax_seed,seed,Seeds,28.9,18.3,42.2,0.0,1.6,0.2,3.1,0.6,0.5,0.0,87.0,0.0,0.6,0.0,0.3,4.3,255.0,5.7,392.0,642.0,813.0,30.0,4.3,1.3,2.5,25.0,0.0,0.9,2.5,2.2,2.7,0.7,4.7,0.6,1.4,0.5,0.8,1.4,0.9,0.4,1.1,1.0,1.0,0.8,0.3,0.5,1.0,3.7,7.5,28.7,22.8,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8,0.1,0.0,0.0,27.3,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,sesame_seed,seed,Seeds,23.5,18.7,49.7,0.0,0.8,0.3,4.5,0.7,0.8,0.0,97.0,0.0,0.0,0.0,0.3,0.0,975.0,14.6,351.0,628.0,468.0,11.0,7.8,1.6,2.5,34.0,0.0,0.7,4.0,2.1,2.9,0.6,5.2,0.5,1.0,0.5,0.7,1.3,0.8,0.7,1.0,1.0,1.0,0.7,0.3,0.7,0.8,6.8,18.5,19.7,0.1,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,11.8,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,wheat,seed,Grains,71.2,13.68,1.54,0.0,0.447,0.15,6.363,0.935,0.341,0.0,38.0,0.0,0.0,0.0,0.79,1.9,34.0,3.6,138.0,508.0,363.0,2.0,3.46,0.494,3.984,89.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.213,0.759,0.054,0.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,10.7,0.0,0.0,0.0,0.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,rice,seed,Grains,28.17,2.69,0.28,0.0,0.163,0.016,1.476,0.418,0.093,0.0,8.0,0.0,0.0,0.0,0.04,0.0,10.0,0.2,12.0,43.0,35.0,1.0,0.42,0.069,0.377,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.086,0.081,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.03,0.0,0.0,0.4,0.0,0.0,0.0,0.0,68.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,corn,seed,Grains,19.0,3.3,1.2,0.0,0.4,0.1,1.7,0.8,0.3,0.0,42.0,0.0,6.8,0.0,0.1,0.0,7.0,0.5,37.0,34.0,270.0,15.0,0.5,0.1,0.2,0.0,0.0,0.3,0.3,0.5,0.6,0.1,0.9,0.2,0.2,0.1,0.2,0.3,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.3,0.2,0.4,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.6,0.0,0.0,2.7,0.0,0.0,0.0,0.0,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,barley,seed,Grains,73.5,12.5,1.2,0.0,0.4,0.1,4.6,0.8,0.3,0.0,23.0,0.0,0.0,0.0,0.4,0.0,33.0,2.5,79.0,34.0,280.0,7.0,1.1,0.3,1.1,0.0,0.0,0.6,0.7,1.1,1.3,0.3,2.2,0.4,0.4,0.4,0.7,1.2,0.9,0.3,0.7,0.6,0.6,0.6,0.1,0.4,0.8,0.2,0.3,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,1.6,0.0,0.0,17.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,oats,seed,Grains,66.3,16.9,6.9,0.0,0.8,0.1,0.9,1.0,0.1,0.0,56.0,0.0,0.0,0.0,0.6,0.0,54.0,4.3,177.0,523.0,429.0,2.0,3.6,0.6,3.8,0.0,0.0,0.8,0.9,1.7,1.6,0.5,2.7,0.7,0.7,0.5,0.9,1.5,1.0,0.4,0.9,0.9,1.0,0.8,0.2,0.6,1.0,1.2,2.0,3.7,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.6,0.8,0.0,0.0,10.6,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,millet,seed,Grains,73.0,11.0,4.0,0.0,0.3,0.1,0.8,0.6,0.2,0.0,85.0,0.0,0.0,0.0,0.1,0.0,8.0,3.0,114.0,34.0,195.0,5.0,1.3,0.3,1.2,0.0,0.0,0.6,0.8,1.3,1.5,0.3,2.1,0.5,0.5,0.4,0.8,1.3,0.9,0.3,0.8,0.6,0.6,0.6,0.1,0.3,0.8,0.8,1.3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.5,0.0,0.0,7.6,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,salmon,seafood,Oily Fishs,0.0,20.0,13.0,50.0,0.2,0.4,8.0,0.9,0.8,5.0,25.0,3.0,0.0,12.0,2.0,0.0,10.0,0.8,30.0,270.0,490.0,60.0,0.8,0.1,0.1,30.0,30.0,1.0,1.3,1.1,1.3,0.3,2.3,0.6,0.7,0.5,0.8,1.2,1.1,0.7,0.8,0.8,0.8,0.7,0.2,0.7,0.8,3.0,4.0,3.0,2.5,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,mackerel,seafood,Oily Fishs,0.0,19.0,15.0,200.0,0.2,0.3,7.0,0.9,0.8,6.0,30.0,9.0,0.0,18.0,2.0,0.0,15.0,1.8,40.0,200.0,400.0,80.0,0.9,0.1,0.1,35.0,40.0,1.0,1.2,1.1,1.2,0.3,2.2,0.6,0.7,0.5,0.8,1.2,1.1,0.8,0.8,0.8,0.8,0.7,0.2,0.7,0.8,3.0,5.0,6.0,3.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,sardine,seafood,Oily Fishs,0.0,25.0,11.0,200.0,0.4,1.3,8.0,1.0,1.2,8.0,50.0,8.0,0.0,20.0,1.0,0.0,380.0,2.9,35.0,500.0,400.0,500.0,1.0,0.3,0.1,45.0,20.0,1.1,1.5,1.3,1.6,0.5,2.8,0.8,0.9,0.7,1.0,1.4,1.3,0.9,1.0,1.0,1.0,0.9,0.3,0.9,1.0,2.5,2.0,6.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Tuna,seafood,Oily Fishs,0.0,23.0,1.0,60.0,0.1,0.2,15.0,0.5,0.8,4.0,15.0,3.0,0.0,10.0,1.0,0.0,10.0,1.0,25.0,200.0,400.0,50.0,0.6,0.1,0.1,40.0,30.0,1.0,1.4,1.0,1.3,0.2,2.2,0.5,0.7,0.6,0.9,1.4,1.4,0.5,0.8,0.8,0.8,0.8,0.2,0.7,1.0,0.2,0.3,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Cod,seafood,Lean Fishs,0.0,18.0,0.7,30.0,0.1,0.1,3.0,0.5,0.2,4.0,20.0,1.0,0.0,0.5,0.1,0.0,20.0,0.3,25.0,150.0,300.0,50.0,0.3,0.05,0.1,35.0,10.0,1.0,1.1,1.5,1.8,0.2,2.0,0.5,0.6,0.5,0.6,1.0,1.2,0.4,0.5,0.6,0.6,0.6,0.1,0.4,0.7,0.1,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Haddock,seafood,Lean Fishs,0.0,19.0,0.6,25.0,0.1,0.1,4.0,0.5,0.2,3.0,15.0,1.2,0.0,0.4,0.1,0.0,15.0,0.4,30.0,140.0,350.0,60.0,0.4,0.05,0.1,30.0,8.0,1.0,1.1,1.5,1.7,0.2,2.0,0.5,0.6,0.5,0.6,1.1,1.2,0.4,0.5,0.6,0.6,0.6,0.1,0.4,0.7,0.1,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,tilapia,seafood,Lean Fishs,0.0,20.0,2.0,30.0,0.1,0.2,2.5,0.4,0.2,5.0,15.0,1.0,0.0,0.2,0.2,0.0,20.0,0.5,30.0,150.0,350.0,60.0,0.4,0.06,0.1,30.0,8.0,1.1,1.2,1.6,1.9,0.2,2.2,0.6,0.7,0.6,0.7,1.2,1.3,0.5,0.6,0.7,0.7,0.7,0.1,0.5,0.8,0.5,0.7,0.7,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,halibut,seafood,Lean Fishs,0.0,22.0,2.0,30.0,0.2,0.2,4.5,0.5,0.3,6.0,20.0,1.5,0.0,1.0,0.2,0.0,20.0,0.4,35.0,160.0,350.0,70.0,0.5,0.05,0.1,35.0,12.0,1.1,1.2,1.7,1.8,0.2,2.1,0.6,0.7,0.6,0.7,1.3,1.4,0.5,0.6,0.7,0.7,0.7,0.1,0.5,0.8,0.5,0.6,0.7,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,pollock,seafood,Lean Fishs,0.0,20.0,1.0,30.0,0.2,0.2,3.5,0.5,0.2,4.0,15.0,1.0,0.0,0.1,0.2,0.0,20.0,0.4,30.0,180.0,350.0,60.0,0.4,0.05,0.1,30.0,10.0,1.1,1.2,1.7,1.8,0.2,2.0,0.6,0.7,0.6,0.7,1.3,1.3,0.5,0.6,0.7,0.7,0.7,0.1,0.5,0.8,0.2,0.4,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,shrimp,seafood,Shell Fishs,0.2,24.0,0.3,54.0,0.1,0.1,1.2,0.7,0.1,1.0,4.0,1.0,0.0,0.5,0.1,0.0,70.0,1.5,30.0,250.0,180.0,150.0,1.0,0.2,0.1,30.0,35.0,1.2,1.5,1.8,1.8,0.3,2.2,0.7,0.8,0.7,0.8,1.4,1.5,0.6,0.8,0.8,0.8,0.8,0.1,0.6,0.9,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,crab,seafood,Shell Fishs,0.0,19.0,0.8,50.0,0.1,0.1,0.8,0.6,0.1,5.0,30.0,9.0,3.0,0.0,0.1,0.0,50.0,1.0,40.0,250.0,320.0,500.0,2.0,0.5,0.1,40.0,30.0,1.0,1.4,1.7,1.7,0.2,2.0,0.5,0.6,0.6,0.6,1.2,1.2,0.4,0.5,0.6,0.7,0.7,0.1,0.5,0.7,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,oyster,seafood,Shell Fishs,4.0,9.0,1.5,50.0,0.1,0.3,2.0,0.5,0.1,8.0,40.0,9.0,2.0,1.0,0.5,0.0,90.0,7.0,40.0,200.0,200.0,80.0,60.0,1.0,0.1,30.0,70.0,0.9,1.0,1.4,1.4,0.2,1.8,0.5,0.6,0.5,0.6,1.0,1.0,0.4,0.5,0.6,0.6,0.6,0.1,0.4,0.6,0.2,0.5,0.8,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.0,90.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,lobster,seafood,Shell Fishs,0.0,19.0,0.6,35.0,0.1,0.2,2.0,0.5,0.1,8.0,40.0,2.5,2.0,1.0,0.3,0.0,40.0,1.0,35.0,200.0,180.0,500.0,1.5,0.5,0.1,30.0,40.0,1.0,1.2,1.6,1.6,0.2,1.8,0.6,0.7,0.6,0.6,1.2,1.2,0.4,0.6,0.6,0.6,0.6,0.1,0.5,0.6,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,mussel,seafood,Shell Fishs,7.0,24.0,2.0,350.0,0.1,0.7,2.0,0.4,0.5,20.0,35.0,12.0,6.0,0.5,0.5,0.0,70.0,3.0,40.0,200.0,250.0,200.0,2.0,1.0,0.8,40.0,100.0,1.2,1.5,2.0,2.0,0.3,2.0,0.7,0.8,0.8,0.8,1.5,1.5,0.5,0.8,0.8,0.8,0.8,0.2,0.6,0.8,0.5,0.4,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,70.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,chicken,meat,Red Meat,0.0,31.0,3.6,13.0,0.1,0.2,13.7,1.0,0.5,10.0,4.0,0.3,0.0,0.1,0.2,2.1,15.0,1.0,25.0,180.0,223.0,70.0,1.0,0.04,0.02,20.0,7.0,1.7,2.2,1.9,2.9,0.3,4.5,1.9,1.6,1.1,1.7,3.0,3.2,1.2,1.4,1.7,1.4,1.6,0.4,1.0,1.8,1.0,1.2,0.8,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,beef,meat,Red Meat,0.0,26.1,15.0,0.0,0.1,0.2,5.6,0.7,0.4,0.0,7.0,2.6,0.0,0.0,0.2,0.0,18.0,2.6,20.0,198.0,318.0,58.0,5.1,0.1,0.1,22.8,0.0,1.4,1.7,1.8,3.2,0.3,5.8,1.8,1.6,1.2,1.6,2.8,2.8,0.8,1.2,1.3,1.4,1.4,0.3,1.1,1.7,5.0,6.7,0.6,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,lamb,meat,Red Meat,0.0,25.0,21.0,0.0,0.1,0.2,7.0,0.7,0.5,0.0,8.0,2.7,0.0,0.0,0.1,0.0,20.0,1.8,25.0,215.0,270.0,60.0,4.0,0.1,0.1,31.0,0.0,1.5,1.8,1.9,3.0,0.3,5.4,1.7,1.4,1.3,1.5,2.6,2.7,0.9,1.3,1.2,1.4,1.4,0.3,1.2,1.7,8.0,8.0,2.0,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,pork,meat,Red Meat,0.0,25.0,20.0,0.0,0.8,0.3,6.0,0.9,0.7,0.0,10.0,0.8,0.0,0.0,0.1,0.0,20.0,1.2,24.0,250.0,310.0,70.0,2.4,0.1,0.1,25.0,0.0,1.5,1.8,1.9,3.2,0.3,5.8,1.7,1.5,1.2,1.6,2.7,2.6,0.9,1.3,1.3,1.4,1.4,0.3,1.1,1.7,7.0,9.0,2.0,0.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,bacon,meat,Processed Meat,1.4,37.0,42.0,3.0,0.9,0.2,11.0,0.9,0.4,0.0,5.0,1.5,0.0,0.1,0.4,0.0,10.0,1.2,27.0,350.0,565.0,1843.0,2.5,0.1,0.0,42.0,0.0,1.9,2.1,0.0,4.0,0.4,6.4,0.0,1.9,1.5,2.1,3.4,3.6,1.0,1.8,2.1,2.2,2.0,0.4,1.7,2.3,14.0,19.0,4.0,0.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,sausage,meat,Processed Meat,1.9,11.9,28.0,20.0,0.3,0.2,3.0,0.7,0.3,0.0,8.0,0.5,0.0,0.3,0.6,0.0,13.0,0.6,10.0,100.0,180.0,800.0,1.2,0.1,0.0,12.0,0.0,0.9,1.0,0.0,2.1,0.2,3.5,0.0,1.0,0.5,0.6,1.1,1.2,0.4,0.6,1.1,0.8,0.6,0.2,0.5,0.8,10.0,12.0,3.0,0.2,2.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,ham,meat,Processed Meat,0.0,20.0,4.0,0.0,0.5,0.3,5.0,0.5,0.6,0.0,5.0,0.8,0.0,0.0,0.1,0.0,12.0,0.8,15.0,150.0,250.0,1200.0,1.5,0.1,0.1,30.0,0.0,1.0,1.2,1.3,2.0,0.2,3.5,1.0,1.0,0.8,1.2,1.8,1.8,0.6,1.0,1.0,1.0,1.1,0.2,0.8,1.2,1.5,1.5,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,salami,meat,Processed Meat,1.0,23.0,27.0,0.0,0.6,0.4,5.0,0.8,0.9,0.0,10.0,1.0,0.0,0.0,0.2,0.0,15.0,1.5,20.0,200.0,300.0,1600.0,2.5,0.2,0.2,40.0,0.0,1.5,1.8,1.5,2.5,0.4,4.0,1.5,1.5,1.0,1.5,2.2,2.0,0.8,1.2,1.5,1.2,1.3,0.3,1.0,1.6,10.0,12.0,3.0,0.3,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,pepperoni,meat,Processed Meat,1.0,20.0,30.0,0.0,0.7,0.5,6.0,1.0,1.0,0.0,15.0,1.2,0.0,0.0,0.3,0.0,20.0,2.0,25.0,250.0,350.0,1800.0,3.0,0.3,0.2,45.0,0.0,1.5,1.5,1.6,2.5,0.3,4.0,1.2,1.0,1.1,1.4,2.0,2.2,0.7,1.3,1.4,1.2,1.3,0.3,0.9,1.5,12.0,14.0,4.0,0.5,3.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,whole_milk,dairy,Milk,4.8,3.4,3.3,46.0,0.04,0.18,0.1,0.4,0.04,0.0,5.0,0.4,1.0,1.0,0.2,0.0,120.0,0.1,10.0,95.0,150.0,50.0,0.4,0.03,0.01,1.0,13.0,0.1,0.1,0.2,0.3,0.03,0.6,0.2,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.2,0.2,0.2,0.04,0.1,0.2,1.9,1.1,0.1,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.8,0.0,0.0,0.0,10.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,almond_milk,dairy,Milk,0.4,0.3,1.0,0.0,0.02,0.03,0.1,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.0,120.0,0.2,10.0,20.0,10.0,0.0,0.2,0.02,0.01,0.0,0.0,0.03,0.03,0.03,0.05,0.01,0.05,0.02,0.03,0.01,0.02,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.03,0.1,0.6,0.3,0.02,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,soy_milk,dairy,Milk,0.7,3.3,1.8,0.0,0.1,0.1,0.5,0.2,0.1,0.0,10.0,0.0,0.0,0.0,0.1,0.0,120.0,0.8,20.0,30.0,50.0,10.0,0.3,0.04,0.05,0.0,0.0,0.03,0.3,0.1,0.2,0.03,0.5,0.3,0.03,0.1,0.1,0.2,0.1,0.02,0.2,0.03,0.1,0.1,0.02,0.1,0.1,0.3,0.6,0.9,0.2,0.7,0.0,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.1,0.5,0.0
110,cheddar,dairy,Dairy Products,1.3,25.0,33.0,200.0,0.05,0.38,0.0,0.8,0.0,0.0,0.0,1.2,0.0,0.0,0.2,0.0,700.0,0.7,30.0,500.0,150.0,600.0,3.0,0.03,0.01,0.0,0.0,1.0,1.1,1.2,2.0,0.4,4.0,1.0,0.5,0.8,1.2,2.0,1.8,0.5,1.0,1.2,1.0,0.8,0.3,1.0,1.0,21.0,9.0,1.5,0.1,1.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.3,0.0,0.0,0.0,110.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,mozzarella,dairy,Dairy Products,2.2,22.0,22.0,300.0,0.1,0.4,0.0,0.8,0.1,0.0,10.0,1.0,0.0,0.0,0.2,0.0,700.0,0.3,30.0,500.0,150.0,600.0,2.0,0.1,0.02,0.0,0.0,1.1,1.0,1.1,1.9,0.4,3.8,1.1,0.5,0.8,1.2,2.0,1.7,0.5,1.0,1.3,1.0,0.8,0.3,1.0,1.0,13.0,6.0,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.2,0.0,0.0,0.0,70.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,greek_yogurt,dairy,Dairy Products,4.0,10.0,3.0,150.0,0.1,0.4,0.0,0.7,0.1,0.0,15.0,0.9,0.0,0.0,0.1,0.0,150.0,0.1,10.0,100.0,150.0,50.0,0.6,0.03,0.03,0.0,0.0,1.0,1.1,1.0,1.6,0.2,3.0,0.8,0.5,0.7,1.0,1.7,1.5,0.4,0.8,1.1,1.0,0.8,0.2,0.7,1.0,1.5,1.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,3.0,0.0,0.1,0.0,15.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,yogurt,dairy,Dairy Products,4.0,3.5,2.0,80.0,0.03,0.2,0.0,0.5,0.1,0.0,10.0,0.8,0.0,0.0,0.1,0.0,150.0,0.1,10.0,100.0,150.0,50.0,0.4,0.03,0.02,0.0,0.0,0.8,0.9,0.8,1.3,0.2,2.6,0.8,0.4,0.6,0.8,1.4,1.2,0.3,0.6,0.8,0.8,0.6,0.2,0.6,0.8,1.0,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,3.0,0.0,0.1,0.0,10.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,butter,dairy,Dairy Products,0.1,0.9,81.0,684.0,0.02,0.3,0.1,0.3,0.1,0.0,0.0,0.2,0.0,1.0,2.3,7.0,24.0,0.2,3.0,24.0,80.0,82.0,0.2,0.01,0.01,0.3,0.0,0.03,0.01,0.04,0.06,0.01,0.07,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0.02,0.02,51.0,21.0,2.0,0.5,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,215.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,ghee,dairy,Dairy Products,0.0,0.2,99.0,620.0,0.01,0.4,0.0,0.3,0.1,0.0,0.0,0.5,0.0,0.0,2.0,2.0,2.0,0.2,3.0,2.0,10.0,2.0,0.1,0.01,0.01,0.1,0.0,0.02,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,62.0,29.0,2.0,0.1,1.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,pastry,nosh,Baked,51.0,5.0,20.0,300.0,0.2,0.2,1.5,0.5,0.05,5.0,30.0,0.5,0.5,0.5,1.5,10.0,50.0,1.5,20.0,70.0,120.0,300.0,0.7,150.0,0.5,10.0,10.0,300.0,400.0,300.0,600.0,100.0,1500.0,600.0,200.0,200.0,400.0,600.0,500.0,150.0,300.0,500.0,400.0,300.0,100.0,200.0,400.0,10.0,6.0,2.0,0.3,1.5,0.5,10.0,300.0,20.0,1.0,10.0,10.0,5.0,20.0,50.0,30.0,2.0,50.0,5.0,0.0,1.0,25.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
117,cookie,nosh,Baked,70.0,5.5,20.0,250.0,0.15,0.1,1.0,0.3,0.04,3.0,20.0,0.4,0.2,0.2,1.0,5.0,40.0,2.0,30.0,50.0,150.0,300.0,0.6,100.0,0.3,5.0,15.0,200.0,300.0,200.0,400.0,90.0,800.0,500.0,150.0,180.0,300.0,500.0,400.0,120.0,300.0,400.0,300.0,200.0,90.0,150.0,300.0,10.0,6.0,2.0,0.3,1.5,0.5,8.0,250.0,15.0,0.8,8.0,12.0,6.0,18.0,30.0,20.0,1.5,30.0,3.0,0.0,0.8,15.0,0.0,0.0,0.0,0.8,1.5,1.5,0.8
