,name,category,sub_category,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Probiotics,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates
54,rosemary,vegetable,Herbs,20.7,3.31,5.9,217.0,0.08,0.28,0.77,0.16,0.13,5.0,73.0,0.0,21.8,0.0,1.6,37.8,317.0,6.8,91.0,34.0,668.0,10.0,0.92,230.0,1.3,0.6,0.0,0.25,0.21,0.27,0.38,0.07,0.44,0.36,0.2,0.07,0.13,0.22,0.16,0.06,0.15,0.22,0.16,0.11,0.05,0.09,0.13,0.82,0.82,0.83,0.1,0.73,0.0,50.0,1370.0,15.7,0.0,25.0,0.35,0.47,0.06,6.0,0.0,14.0,0.0,50.0,0.0,14.0,66.0,0.0,0.0,0.0,5.0,4.0,2.0,8.0
55,oregano,vegetable,Herbs,68.9,9.0,4.3,3000.0,0.11,0.18,0.7,0.22,0.24,10.0,123.0,0.0,3.8,0.0,0.5,1260.0,1590.0,41.8,270.0,80.0,1260.0,15.0,4.35,780.0,1.45,0.9,0.0,0.35,0.33,0.48,0.54,0.08,0.56,0.4,0.3,0.1,0.18,0.28,0.23,0.07,0.22,0.27,0.21,0.15,0.06,0.11,0.19,1.6,1.12,1.23,0.12,1.11,0.0,200.0,2050.0,31.5,0.0,45.0,0.28,0.3,0.12,8.0,0.0,42.0,0.0,100.0,0.0,42.0,7.0,0.0,0.0,0.0,4.0,2.5,1.5,15.0
56,ginger,vegetable,Tuberous,17.8,1.8,0.8,0.0,0.034,0.034,0.75,0.15,0.34,0.0,34.0,0.0,5.0,0.0,0.26,0.0,34.0,0.34,43.0,34.0,415.0,13.0,0.34,0.34,0.34,0.6,0.0,86.0,0.0,129.0,122.0,0.0,203.0,0.0,76.0,45.0,64.0,98.0,74.0,25.0,52.0,0.0,81.0,60.0,13.0,42.0,82.0,0.16,0.19,0.35,0.03,0.28,0.0,0.04,0.0,8.0,0.0,0.02,0.17,0.14,1.9,0.0,0.0,2.0,0.0,2.0,0.0,0.05,79.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2
57,turmeric,vegetable,Tuberous,65.0,9.7,3.3,0.0,0.075,0.15,0.6,0.9,0.3,0.0,268.0,0.0,0.7,0.0,2.8,0.0,268.0,41.4,193.0,268.0,268.0,38.0,4.35,0.3,7.0,0.0,0.0,75.0,120.0,135.0,250.0,15.0,470.0,0.0,75.0,55.0,63.0,110.0,85.0,25.0,70.0,0.0,100.0,60.0,20.0,55.0,85.0,0.97,1.08,1.21,0.03,1.2,0.0,0.3,0.0,8.0,0.0,0.03,1.4,1.4,5.0,0.0,0.0,22.7,0.0,25.0,0.0,0.1,14.0,0.0,0.0,0.0,0.1,0.0,0.03,0.3
58,horseradish,vegetable,Tuberous,14.8,1.2,0.4,0.0,0.06,0.04,0.5,0.2,0.34,0.0,100.0,0.0,24.0,0.0,0.3,0.0,40.0,0.8,34.0,30.0,290.0,11.0,0.3,0.12,0.4,0.0,0.0,62.0,0.0,83.0,100.0,0.0,200.0,0.0,58.0,0.0,0.0,65.0,0.0,0.0,70.0,0.0,70.0,40.0,0.0,0.0,62.0,0.08,0.15,0.15,0.05,0.1,0.0,0.1,0.0,12.0,0.0,0.02,0.28,0.3,1.5,0.0,0.0,2.0,0.0,15.0,0.0,0.05,83.0,0.0,0.0,0.0,0.0,0.0,0.03,0.3
59,button_mushroom,vegetable,Fungi,3.3,3.1,0.3,0.0,0.1,0.3,3.6,1.5,0.1,0.0,17.0,0.0,2.0,0.0,0.1,0.0,3.0,0.5,9.0,86.0,318.0,5.0,0.5,0.3,0.1,1.3,0.0,0.19,0.25,0.21,0.4,0.07,0.5,0.13,0.11,0.09,0.16,0.3,0.2,0.08,0.17,0.17,0.19,0.14,0.03,0.1,0.18,0.05,0.1,0.08,0.01,0.07,0.0,0.5,0.0,30.0,0.0,0.2,0.4,0.5,0.4,0.5,0.4,1.0,0.0,1.5,0.0,0.1,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,shiitake_mushroom,vegetable,Fungi,6.8,2.2,0.3,0.0,0.1,0.4,4.9,1.5,0.1,0.0,15.0,0.0,0.0,7.0,0.1,0.0,2.0,0.4,12.0,57.0,304.0,1.0,1.0,0.2,0.3,1.5,0.0,0.23,0.27,0.22,0.39,0.08,0.52,0.15,0.13,0.11,0.19,0.33,0.22,0.09,0.18,0.18,0.21,0.15,0.04,0.11,0.19,0.05,0.1,0.1,0.01,0.09,0.0,1.0,0.0,40.0,0.0,0.3,1.1,1.2,0.8,1.0,0.5,2.0,0.0,2.0,0.0,0.2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,portobello_mushroom,vegetable,Fungi,3.9,3.1,0.3,0.0,0.1,0.4,4.9,1.6,0.1,0.0,15.0,0.0,0.0,2.0,0.2,0.0,3.0,0.5,13.0,60.0,318.0,5.0,0.5,0.3,0.1,1.4,0.0,0.2,0.26,0.23,0.41,0.09,0.52,0.14,0.12,0.1,0.18,0.31,0.23,0.08,0.17,0.18,0.22,0.15,0.04,0.11,0.2,0.05,0.09,0.09,0.01,0.08,0.0,0.8,0.0,35.0,0.0,0.2,0.5,0.6,0.5,0.6,0.4,1.0,0.0,1.8,0.0,0.2,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,oyster_mushroom,vegetable,Fungi,6.0,3.3,0.3,0.0,0.1,0.3,4.6,1.5,0.1,0.0,12.0,0.0,0.0,1.0,0.2,0.0,3.0,0.6,11.0,50.0,320.0,5.0,0.6,0.3,0.2,1.4,0.0,0.22,0.28,0.24,0.42,0.08,0.54,0.14,0.12,0.11,0.19,0.32,0.24,0.09,0.18,0.19,0.23,0.16,0.04,0.12,0.21,0.05,0.1,0.1,0.01,0.09,0.0,0.7,0.0,33.0,0.0,0.3,0.6,0.7,0.5,0.6,0.5,1.2,0.0,1.7,0.0,0.3,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,alfalfa_sprouts,vegetable,Sprouts,2.1,4.0,0.7,12.0,0.08,0.14,0.7,0.28,0.2,0.4,36.0,0.0,8.0,0.0,0.3,30.0,32.0,1.2,27.0,31.0,79.0,6.0,0.7,0.1,0.1,0.0,0.0,0.17,0.3,0.4,0.6,0.07,1.0,0.3,0.1,0.1,0.1,0.2,0.2,0.07,0.1,0.1,0.1,0.1,0.03,0.1,0.1,0.09,0.3,0.3,0.08,0.22,0.0,2.3,0.5,0.4,0.2,0.03,0.3,0.4,0.5,0.5,0.3,1.5,0.0,0.5,0.0,0.1,92.0,0.0,0.0,0.0,0.0,0.2,0.1,1.0
