,category,sub_category,name,Unnamed: 0,Carbohydrates,Proteins,Fats,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7,Vitamin B9,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Iodine,Alanine,Arginine,Asparagine,Aspartic Acid,Cysteine,Glutamic Acid,Glutamine,Glycine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Proline,Serine,Threonine,Tryptophan,Tyrosine,Valine,Saturated Fatty Acids,Monounsaturated Fatty Acids,Polyunsaturated Fatty Acids,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Trans Fatty Acids,Flavonoids,Carotenoids,Polyphenols,Glucosinolates,Phytosterols,Glucose,Fructose,Sucrose,Citric Acid,Lactic Acid,Fiber,Cholesterol,Antioxidants,Probiotics,Prebiotics,Water,Alcohol,Caffeine,Theobromine,Tannins,Lectins,Phytic Acid,Oxalates,bias,score
82,seed,Grains,oats,-90.2,-449.514,-20.280000000000012,-10.556999999999999,0,0.8640000000000001,0.097,0.9720000000000001,0.43,0.13899999999999998,0.0,113.12,-0.0,0.0,-0.0,1.08,0.0,227.88,2.708999999999998,1580.61,2186.1400000000003,-51.48,-2.6599999999999984,-0.6120000000000002,0.5339999999999999,0,-0.0,-0.0,-1.168,-1.314,0,-2.336,-0.22,-3.942,0,-1.022,-0.73,-1.314,-2.19,-1.46,-0.584,-1.314,0,-1.46,-1.168,0.022000000000000002,0,-1.46,-7.74,15.14,27.676000000000002,0.0,-0.48100000000000004,-0.0,0.0,0.0,0.0,0,0.0,-4.459,-4.086,-5.096,0,0,110.346,-0.0,0.0,0.0,0.0,4.64,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.3600000000000003,3606.912000000001
111,dairy,Dairy Products,mozzarella,-122.10000000000001,-14.916000000000002,-26.40000000000002,-33.66,0,0.10800000000000001,0.388,0.0,0.34400000000000003,0.13899999999999998,0.0,20.2,-0.6200000000000003,0.0,-0.0,0.3600000000000001,0.0,2954.0,0.18899999999999986,267.9,2090.0000000000005,-18.0,-797.9999999999995,-0.3400000000000001,0.089,0,-0.0,-0.0,-1.606,-1.46,0,-2.774,-0.17600000000000002,-5.548,0,-0.73,-1.168,-1.752,-2.92,-2.4819999999999998,-0.73,-1.46,0,-1.46,-1.168,0.033,0,-1.46,-83.85000000000001,45.42,3.74,1.5070000000000001,-0.052000000000000005,-0.0,0.0,0.0,0.0,0,2.8,-0.0,-0.0,-14.014000000000001,0,0,0.0,-424.90000000000003,0.0,0.0,0.0,34.8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.28000000000000114,3857.991000000001
16,fruit,Melons,muskmelon,-17.6,-55.3248,-1.0080000000000007,-0.29069999999999996,0,0.03996,0.026189999999999998,0.36288000000000004,0.1075,0.10146999999999998,0.0,60.6,-0.0,161.84699999999998,-0.0,0.09000000000000002,7.250000000000001,37.98,0.1322999999999999,107.16,50.16000000000001,-32.04,-2.6599999999999984,-0.011900000000000004,0.0356,0,-0.0,-0.0,-0.08468,-0.10074000000000001,0,-0.1752,-0.0074800000000000005,-0.23652,0,-0.06716,-0.0292,-0.0438,-0.05694,-0.06132,-0.03358,-0.049640000000000004,0,-0.0657,-0.04088,0.00176,0,-0.0584,-0.27090000000000003,0.38606999999999997,0.1496,0.01507,-0.00247,-0.0,0.5969999999999999,3552.0,4.949,0,0.27999999999999997,-17.836,-24.516000000000002,-10.192,0,0,9.369,-0.0,2.7100000000000004,0.0,0.0,51.967999999999996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16000000000000003,3885.61439
69,seed,Nuts,hazelnut,-75.9,-113.226,-16.920000000000012,-93.02399999999999,0,0.648,0.097,2.8080000000000003,0.34400000000000003,0.8339999999999997,0.0,228.26,-0.0,26.459999999999994,-0.0,27.000000000000004,0.0,481.08,2.960999999999998,1455.59,1212.2000000000003,-81.6,-0.0,-0.4250000000000001,1.513,0,-0.0,-0.0,-0.876,-3.942,0,-1.46,-0.08800000000000001,-2.92,0,-0.584,-0.438,-0.876,-1.46,-1.168,-0.292,-1.022,0,-0.73,-0.73,0.011000000000000001,0,-1.022,-29.025000000000002,345.192,66.572,1.5070000000000001,-1.1440000000000001,-0.0,0.0,0.0,0.0,0,448.0,-0.0,-0.0,-26.754,0,0,104.1,-0.0,0.0,0.0,0.0,3.4799999999999995,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,15.7,3968.7309999999998
70,seed,Nuts,pistachio,-77.0,-189.84,-24.240000000000016,-69.46199999999999,0,0.9720000000000001,0.194,1.62,0.387,2.3629999999999995,0.0,60.6,-0.0,22.049999999999997,-0.0,5.220000000000001,0.0,443.09999999999997,2.5199999999999982,1080.53,2090.0000000000005,-123.0,-1.3299999999999992,-0.3740000000000001,1.1569999999999998,0,-0.0,-0.0,-1.314,-4.818,0,-1.752,-0.22,-2.92,0,-1.168,-0.876,-1.314,-1.898,-1.46,-0.73,-1.314,0,-1.168,-1.168,0.022000000000000002,0,-1.314,-32.25,181.68,104.72,0.0,-1.82,-0.0,0.0,0.0,0.0,0,896.0,-0.0,-0.0,-49.049,0,0,110.346,-0.0,0.0,0.0,0.0,2.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.869999999999999,4419.452
71,seed,Nuts,walnut,-78.10000000000001,-189.84,-24.240000000000016,-69.46199999999999,0,0.9720000000000001,0.194,1.62,0.387,2.3629999999999995,0.0,60.6,-0.0,22.049999999999997,-0.0,5.220000000000001,0.0,443.09999999999997,2.5199999999999982,1080.53,2090.0000000000005,-123.0,-1.3299999999999992,-0.3740000000000001,1.1569999999999998,0,-0.0,-0.0,-1.314,-4.818,0,-1.752,-0.22,-2.92,0,-1.168,-0.876,-1.314,-1.898,-1.46,-0.73,-1.314,0,-1.168,-1.168,0.022000000000000002,0,-1.314,-32.25,181.68,104.72,0.0,-1.82,-0.0,0.0,0.0,0.0,0,896.0,-0.0,-0.0,-49.049,0,0,110.346,-0.0,0.0,0.0,0.0,2.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,17.8,4431.282
15,fruit,Melons,watermelon,-16.5,-51.189,-0.7320000000000005,-0.22949999999999995,0,0.035640000000000005,0.02037,0.10584000000000002,0.10965,0.06254999999999998,0.0,6.0600000000000005,-0.0,35.72099999999999,-0.0,0.18000000000000005,7.830000000000002,29.54,0.1763999999999999,89.3,45.980000000000004,-13.44,-1.3299999999999992,-0.017000000000000005,0.0356,0,-0.0,-0.0,-0.07884,-0.08322,0,-0.15768,-0.00704,-0.23068,0,-0.06132,-0.02336,-0.04088,-0.05402,-0.055479999999999995,-0.0292,-0.04672,0,-0.06132,-0.03796,0.0015400000000000001,0,-0.05402,-0.0903,0.12112,0.08228,0.03014,-0.0010400000000000001,-0.0,0.39799999999999996,4320.0,3.535,0,0.5599999999999999,-16.562,-23.154,-9.555,0,0,4.164000000000001,-0.0,1.3550000000000002,0.0,0.0,53.035199999999996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.23,4465.847749999999
54,vegetable,Herbs,rosemary,-59.400000000000006,-140.346,-3.9720000000000026,-9.027,0,0.0864,0.2716,0.8316000000000001,0.0688,0.18069999999999997,5.4,147.46,-0.0,96.13799999999999,-0.0,2.880000000000001,109.62,1337.74,4.283999999999997,812.63,142.12000000000003,-80.16,-13.299999999999992,-0.15640000000000004,204.7,0,-0.40199999999999997,-0.0,-0.365,-0.3066,0,-0.5548,-0.030800000000000004,-0.6424,0,-0.292,-0.10220000000000001,-0.1898,-0.3212,-0.2336,-0.0876,-0.219,0,-0.2336,-0.1606,0.0055000000000000005,0,-0.1898,-5.289,6.2074,6.2084,1.5070000000000001,-0.0949,-0.0,99.49999999999999,1315.2,110.999,0,140.0,-2.2295,-3.2007,-0.3822,0,0,145.74,-0.0,677.5,0.0,9.38,38.279999999999994,-0.0,-0.0,-0.0,-9.75,-0.36,-12.400000000000002,-44.400000000000006,7.75,5033.8897
72,seed,Nuts,pine_nut,-79.2,-92.886,-18.240000000000013,-99.75599999999999,0,0.324,0.097,1.296,0.215,0.8339999999999997,0.0,197.96,-0.0,5.733,-0.0,1.26,7.830000000000002,413.56,1.8269999999999986,1410.94,1446.2800000000002,-52.919999999999995,-2.6599999999999984,-0.5270000000000001,1.424,0,-0.0,-0.0,-0.876,-4.672,0,-1.898,-0.08800000000000001,-3.942,0,-1.022,-0.584,-1.168,-1.898,-1.314,-0.438,-1.314,0,-1.022,-1.022,0.022000000000000002,0,-1.314,-38.7,67.373,351.56,135.63,-4.94,-0.0,0.0,0.0,0.0,0,1512.0,-0.0,-0.0,-16.562,0,0,69.747,-0.0,0.0,0.0,0.0,2.32,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9899999999999998,5201.259000000001
67,seed,Nuts,cashew,-73.7,-204.756,-21.840000000000014,-67.01399999999998,0,0.4536,0.11639999999999999,1.08,0.36979999999999996,0.5837999999999999,0.0,50.5,-0.0,2.2049999999999996,-0.0,1.6200000000000003,98.60000000000001,156.14,4.220999999999997,2607.56,2478.7400000000002,-79.2,-15.95999999999999,-0.9860000000000002,1.958,0,-13.332999999999998,-0.0,-1.022,-3.066,0,-2.19,-0.044000000000000004,-4.818,0,-0.876,-0.584,-0.876,-1.606,-0.876,-0.292,-1.46,0,-1.022,-0.584,0.022000000000000002,0,-1.022,-50.31,180.16600000000003,58.344,3.0140000000000002,-0.988,-0.0,0.0,0.0,0.0,0,884.8,-0.0,-0.0,-37.583000000000006,0,0,34.353,-0.0,0.0,0.0,0.0,3.016,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.049999999999999,5985.904600000001
